Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
244	495	1	2	67	6	FL_417	FN	22	3	6	A	5
247	342	1	1	22	5	FL_417	FN	22	3	6	A	5
252	336	1	3	19	2	FL_417	FN	22	2	6	C	4
256	286	1	2	22	5	FL_417	FN	22	3	4	A	1
257	378	1	2	49	3	FL_417	FN	22	4	5	A	5
259	240	1	1	30	3	FL_417	FN	22	4	6	C	5
260	218	1	1	23	5	FL_417	FN	22	3	5	A	4
261	327	1	2	23	5	FL_417	FN	22	3	3	A	1
262	579	1	2	23	3	FL_417	FN	22	3	3	C	3
266	338	1	1	21	3	FL_417	FN	22	3	5	C	4
267	402	1	2	25	5	FL_417	FN	22	2	3	A	1
268	147	1	1	32	6	FL_417	FN	22	3	4	A	1
270	314	1	1	34	5	FL_417	FN	22	3	3	A	1
274	520	1	2	56	6	FL_417	FN	22	2	1	C	1
281	590	1	2	40	2	FL_417	FN	22	2	4	C	2
283	546	1	2	46	6	FL_417	FN	22	1	4	A	1
284	521	1	1	29	5	FL_417	FN	22	4	6	A	1
285	601	1	1	33	5	FL_417	FN	22	3	4	C	1
287	560	1	1	19	6	FL_417	FN	22	1	4	C	1
288	601	1	1	54	3	FL_417	FN	22	3	6	C	6
293	674	1	1	43	4	FL_417	FN	22	2	3	A	1
297	942	1	1	19	2	FL_417	FN	22	2	1	C	1
299	1282	1	2	34	5	FL_417	FN	22	3	4	C	1
1	198	1	2	20	2	FL_417	TN	22	3	4	A	4
5	138	1	1	21	5	FL_417	TN	22	3	5	C	1
10	374	1	1	30	5	FL_417	TN	22	3	5	C	1
12	217	1	2	19	3	FL_417	TN	22	2	3	C	1
13	269	1	2	20	4	FL_417	TN	22	3	2	C	2
15	228	1	3	20	3	FL_417	TN	22	3	4	C	1
16	260	1	2	51	5	FL_417	TN	22	2	2	C	1
24	371	1	2	67	6	FL_417	TN	22	2	4	C	3
27	367	1	2	40	5	FL_417	TN	22	3	3	A	2
31	378	1	2	37	3	FL_417	TN	22	1	4	A	1
32	278	1	1	18	2	FL_417	TN	22	2	3	A	1
36	212	1	1	32	5	FL_417	TN	22	3	3	C	1
37	340	1	1	50	4	FL_417	TN	22	2	2	A	2
40	502	1	1	33	2	FL_417	TN	22	2	4	C	1
41	246	1	1	27	5	FL_417	TN	22	2	2	A	1
43	206	1	2	25	5	FL_417	TN	22	2	2	A	1
50	261	1	1	31	5	FL_417	TN	22	3	4	C	1
52	91	1	2	20	3	FL_417	TN	22	3	5	C	4
53	294	1	2	18	2	FL_417	TN	22	3	4	A	4
58	410	1	2	31	3	FL_417	TN	22	3	5	C	4
60	102	1	1	27	6	FL_417	TN	22	3	5	A	3
61	210	1	1	33	2	FL_417	TN	22	3	2	C	3
63	219	1	1	38	5	FL_417	TN	22	3	3	A	3
71	337	1	2	23	5	FL_417	TN	22	3	4	C	1
73	193	1	2	27	5	FL_417	TN	22	3	4	C	1
75	204	1	1	24	2	FL_417	TN	22	3	4	C	2
